BRONX    ,2014,1.3043
BRONX    ,2015,1.6696
BRONX    ,2016,1.7179
BROOKLYN ,2014,1.9669
BROOKLYN ,2015,2.2114
BROOKLYN ,2016,2.2984
MANHATTAN,2014,1.4078
MANHATTAN,2015,2.4906
MANHATTAN,2016,2.5140
QUEENS   ,2014,2.4459
QUEENS   ,2015,2.5513
QUEENS   ,2016,2.5897
STATEN IS,2014,6.1000
STATEN IS,2015,7.4000
STATEN IS,2016,7.5000
