BRONX    ,2014,150
BRONX    ,2015,192
BRONX    ,2016,201
BROOKLYN ,2014,238
BROOKLYN ,2015,272
BROOKLYN ,2016,285
MANHATTAN,2014,145
MANHATTAN,2015,264
MANHATTAN,2016,269
QUEENS   ,2014,181
QUEENS   ,2015,199
QUEENS   ,2016,202
STATEN IS,2014,61
STATEN IS,2015,74
STATEN IS,2016,75
