03M299,"High School for Arts, Imagination and Inquiry",M11R
03M307,The Urban Assembly School for Media Studies,M22X
03M402,The Urban Assembly School for Green Careers,A13A
03M403,The Global Learning Collaborative,A17A
05M362,Columbia Secondary School,A15A
05M367,Academy for Social Action: A College Board School,M01A
05M369,Urban Assembly School for the Performing Arts,M04A
03M415,Drama,M26A
03M415,Dance,M26D
03M415,Visual Arts,M26J
03M415,Instrumental Music,M26M
03M415,Vocal Music,M26R
05M499,Frederick Douglass Academy,M75A
18K633,High School for Medical Professions,L49A
03M415,Wadleigh Secondary,M26W
03M417,Frank McCourt High School,A21A
03M479,The Beacon School,M71A
03M492,"Law, Advocacy and Community Justice High School",M14A
03M494,Arts & Technology,M12A
03M541,Manhattan/Hunter Science High School,M55A
03M859,"Voice, Instrument, and Composition",A85A
03M860,Frederick Douglass Academy II for New Students,M39A
03M860,Frederick Douglass Academy II for Continuing Students,M39B
04M372,Esperanza Preparatory Academy,A37A
04M409,Coalition School for Social Change,M90A
04M435,Science & Mathematics Research,M16J
04M435,Bilingual Spanish Science & Mathematics,M16K
04M495,Park East High School,M17J
04M555,Central Park East,M86A
04M610,Young Womenâs Leadership School,M96A
04M680,The Heritage School,M97A
05M304,Mott Hall High School,M49X
05M670,International Baccalaureate Middle Years Program,M47A
06M293,City College Academy of the Arts,M06A
06M346,Community Health Academy of the Heights,M07A
06M348,Washington Heights Expeditionary Learning School,M88A
06M423,High School for Excellence and Innovation,A24A
06M462,International Business,M32A
06M463,Media and Communications Institute,M30A
06M467,Law and Public Service,M31A
06M468,Health Careers & Sciences,M33A
06M540,Academic Professions,M19B
06M540,The Academy of the Humanities,M19C
06M540,The Academy of Engineering,M19J
06M540,The Academy of Medicine,M19K
06M552,Bilingual Spanish Science & Mathematics,M62A
07X221,South Bronx Preparatory: A College Board School,X11X
07X223,Dual Language Spanish Program,Y72A
07X223,The Laboratory School of Finance and Technology,Y72B
07X334,International Community High School,Y23A
10X374,Knowledge and Power Preparatory Academy International High School,Y32A
07X427,Social Action,X47A
07X473,Mott Haven Village Preparatory High School,X44X
07X495,Humanities,X96A
07X495,"STEM (Science, Technology, Engineering and Mathematics)",X96B
07X500,Hostos-Lincoln Academy of Science,X14J
07X520,Humanities,X70A
07X520,Art as Visual Language,X70J
07X522,Building Construction and Technology,Y51A
07X522,Architecture and Design,Y51B
07X527,Bronx Leadership Academy II High School,Y49A
07X547,"Visual Arts, Drama, Dance and Music",X49B
07X548,Urban Assembly School for Careers in Sports,X31A
07X551,Bronx Academy of Letters,X27A
07X600,NATEF Automotive Technology,X69C
07X600,Bilingual Spanish NATEF Automotive Technology,X69D
07X600,Automotive Management,X69P
07X670,Health Opportunities High School,X71A
08X269,The Urban Assembly Bronx Studio School for Writers and Artists,Y28A
08X282,Womenâs Academy of Excellence,Y01T
08X293,Renaissance High School of Musical Theater & Technology,X98A
08X305,Pablo Neruda Academy for Architecture and World Studies,X97A
08X312,Millennium Art Academy,X72A
08X332,Holcombe L. Rucker School of Community Research,Y22A
08X367,"Archimedes Academy for Math, Science and Technology",Y37A
08X376,Antonia Pantoja Preparatory Academy: A College Board School,Y34A
08X405,Academy for Computer Technology,X16A
08X405,Anne Hutchinson Academy,X16B
08X405,Zoned,X16Z
08X432,Bronx Bridges High School,Y47A
08X452,Bronx Guild,X32A
08X519,The Felisa RincÃ³n de Gautier Institute for Law and Public Policy,X65R
08X530,Banana Kelly High School,X94A
08X558,Westchester Square Academy,Y58A
08X558,Westchester Square Academy Honors Program,Y58B
08X559,School for Tourism and Hospitality,Y59A
08X561,The Bronx Compass High School,Y61A
09X227,Bronx Collegiate Academy,X58X
09X231,The Eagle Academy for Young Men,X99X
09X241,The Urban Assembly School for Applied Math and Science,Y29A
09X250,Eximius College Preparatory Academy: A College Board School,X03R
09X252,Mott Hall Bronx High School,X04R
09X260,Bronx Center for Science and Mathematics,X05R
09X263,Validus Preparatory Academy: An Expeditionary Learning School,X07R
09X276,Leadership Institute,X06R
09X297,Morris Academy for Collaborative Studies,X81X
09X324,Bronx Early College Academy,Y36A
09X327,Comprehensive Model School Project (CMSP),Y27A
09X329,DreamYard Preparatory School,Y21A
09X365,National Academy Foundation Media Communications,Y31B
10X433,Humanities & Interdisciplinary,X34A
09X365,National Academy Foundation Institute for Computer Technology,Y31C
09X365,National Academy Foundation Computer Networking,Y31D
09X403,Bronx International High School,X36A
09X404,School for Excellence,X46A
09X412,Bronx High School of Business,X55A
09X413,Medical and Health Sciences,X56A
09X505,"Bronx School for Law, Government and Justice for New Students",X95A
09X505,"Bronx School for Law, Government and Justice for Current Students",X95B
09X517,Frederick Douglass Academy III Secondary School,X63X
09X525,Bronx Leadership Academy,X73A
09X543,Violin and Dance,X41A
09X564,Claremont International High School,Y64A
10X141,RKA Humanities,X80A
10X213,Bronx Engineering & Technology Academy (BETA),X61X
10X225,Theatre Arts Production Company School,X20R
10X237,"The Marie Curie High School for Nursing, Medicine, & Allied Health Professions",X62X
10X243,West Bronx Academy for the Future,X59X
10X268,Kingsbridge International High School,X86R
10X284,Bronx School of Law and Finance,X28A
10X342,International School for Liberal Arts,Y24A
10X368,Information and Network Technology Academy,X78A
10X434,College and University Transitional Seminar,X42A
10X437,Fordham High School for the Arts,X51A
