10X264,Bronx Academy for Software Engineering (BASE),X18A
10X351,Bronx Collaborative High School,X19A
08X349,Bronx River High School,X24A
07X259,"HERO High (Health, Education, and Research Occupations High School)",X37A
08X320,Pelham Lab High School,X26A
08X348,Schuylerville Preparatory High School,X57A
10X353,World View High School,X89A
22K611,Origins High School,K05A
30Q258,Energy Tech High School,Q61A
29Q243,Institute for Health Professions at Cambria Heights,Q59A
24Q236,International High School for Health Sciences,Q63A
25Q241,Queens High School for Language Studies,Q62A
25Q240,Veritas Academy,Q51A
10X445,The Bronx High School of Science,
03M485,Fine Art,
03M485,Dance,
03M485,Instrumental Music,
03M485,Vocal Music,
03M485,Drama,
03M485,Technical Theatre,
31R605,Engineering,
02M475,Stuyvesant,
05M692,Pre-Engineering,
10X696,High School of American Studies at Lehman College,
13K430,Science Engineering,
14K449,Brooklyn Latin,
28Q687,Queens High School for the Sciences at York College,
08X305,Pablo Neruda Academy,X97A
02M260,M.S. 260 Clinton School Writers & Artists,M64A
02M280,Manhattan Early College School for Advertising,M73A
02M282,Urban Assembly Maker Academy,M61A
02M422,Quest to Learn Upper School,A25A
02M408,Classical Vocal Music,M81K
08X282,Womens Academy of Excellence,Y01T
07X547,Drama,X49H
02M475,Stuyvesant,NO CODE
03M485,Dance,NO CODE
03M485,Drama,NO CODE
03M485,Fine Art,NO CODE
03M485,Instrumental Music,NO CODE
03M485,Technical Theatre,NO CODE
03M485,Vocal Music,NO CODE
03M494,Digital Media,M12B
04M610,Young Womens Leadership School,M96A
07X547,Dance,X49C
05M499,Frederick Douglass Academy for the Humanities (FDAH),M75B
07X600,Graphic Arts,X69E
05M499,"Science, Technology, Engineering, and Mathematics (STEM)",M75C
05M692,Pre-Engineering,NO CODE
06M211,Inwood Early College for Health and Information Technologies,A16A
06M462,International Business to The College Academy,M32A
07X547,Music,X49D
07X495,"STEM (Science, Technology, Engineering and Mathematics)",X69B
07X547,Visual Art,X49E
08X519,W.E.B. Du Bois Writing Institute,X65A
08X519,The Felisa Rincón de Gautier Institute for Law and Public Policy,X65R
09X350,New Directions Secondary School,X13A
10X225,Dance,X20A
10X225,Drama,X20B
10X445,The Bronx High School of Science,NO CODE
10X225,Visual Arts & Technology,X20C
10X440,Humanities and the Arts,X10L
10X439,Law Enforcement Academy,X53B
10X696,High School of American Studies at Lehman College,NO CODE
10X439,Community Service Academy,X53C
10X440,Macy Honors Communities,X10J
10X440,Medical Professions,X10A
10X440,Newcomers'-Global Community,X10H
10X440,STEM,X10K
12X550,High School of World Cultures,X09X
13K430,Science Engineering,NO CODE
14K449,Brooklyn Latin,NO CODE
14K454,Early College Initiative,L27B
14K454,Transitional Bilingual,L27C
14K478,Music Major,K88D
14K614,The Young Womens Leadership School of Brooklyn,L66A
16K765,Nelson Mandela School for  Social Justice,K15A
17K533,Humanities and Interdisciplinary,K01X
17K546,Law Academy  HSPS,K64A
17K546,Medical Academy  HSPS,K64B
18K629,Culinary Arts,L45A
18K629,Cultural Academy College Prep,L45B
19K422,Spring Creek Community School,K31A
19K510,CNA Certified Nursing Assistant Program with Phlebotomy and EKG Technician,K65A
19K683,Performance,L53A
19K683,Production,L53B
19K764,The Urban Assembly School for Collaborative Healthcare,K19A
21K410,Honors Institute for American Studies  Gilder Lehrman,K24M
21K540,STEM  Robotics/Space Science,K56S
24Q600,Cosmetology,Q68O
27Q400,Law Scholars Academy,Q50C
25Q425,Science Technology Engineering and Math (S.T.E.M.) Research Program,Q14H
25Q425,Academy for Creative Artists,Q14A
25Q670,College Head-Start,Q70A
26Q315,Business Technology Early College High School,Q58A
26Q430,Science Research Institute,Q20B
26Q430,Math Research and Robotics,Q20C
27Q302,Gateway to Engineering  Information Technology,Q06B
27Q302,Gateway to Engineering  Pre-Engineering,Q06C
27Q314,Epic High School - South,Q66A
27Q334,Epic High School - North,Q65A
27Q475,Ninth Grade Academy,Q35B
27Q480,S.T.E.M. Engineering Academy,Q10F
28Q620,Visual Arts,Q67I
28Q620,Computer Aided Design (CAD),Q67M
28Q620,Medical Careers,Q67V
28Q687,Queens High School for the Sciences at York College,NO CODE
29Q259,Pathways College Preparatory School: A College Board School,Q09R
29Q313,Benjamin Franklin High School for Finance & Information Technology,Q73A
30Q450,Academy of Restaurant and Hotel Management,Q29M
30Q450,Sports Medicine & Health Careers,Q29N
30Q450,Community & Culture,Q29P
30Q450,Broadway Productions,Q29Q
30Q450,Global Languages Academy,Q29R
31R460,Scholars Academy,R17F
31R600,CISCO Networking Academy,R60H
31R600,Architectural Drafting,R60K
31R600,Automotive Technology,R60P
31R600,Construction/Carpentry,R60R
31R605,Engineering,NO CODE
02M374,Capstone Scholars,M66I
02M425,Business and Entrepreneurship,M76B
02M520,The Blazer Early College Preparatory Academy,M50C
02M529,"Int'l Marketing, Computer Applications, Foreign Trade & Virtual Enterprise",M45A
02M533,Dental Assistant,A33B
02M551,Marine Science,K51A
02M551,Marine Technology,K51B
07X547,Visual Art,X49D
04M610,Young Women’s Leadership School,M96A
05M148,Eagle Academy for Young Men of Harlem,Y41A
07X547,Drama,X49E
05M499,Frederick Douglass Academy for the Humanities (FDAH),M75A
05M499,"Science, Technology, Engineering, and Mathematics (STEM)",M75B
05M670,Social Change and Community Service,M47A
06M211,Inwood Early College for Health & Information Technologies,A16A
06M462,The College Academy,M32A
06M540,Dual Language Spanish Program,M19L
07X547,Dance,X49B
07X547,Music,X49C
08X282,Women’s Academy of Excellence,Y01T
09X412,Bilingual Education,X55B
09X568,"Young Womens Leadership School, Bronx",Y73A
10X225,Jazz Band/Piano,X20B
10X225,Chorus,X20C
10X225,Dance,X20R
10X225,Drama,X20S
10X225,Visual Arts & Technology,X20T
10X237,"Marie Curie High School for Nursing, Medicine, & Allied Health Professions",X62X
10X353,Spanish Transitional Bilingual,X89B
10X433,Pre-Teaching and Virtual Enterprise,X34A
10X439,Law Enforcement Academy,X53A
10X439,Community Service Academy,X53B
11X270,Academy for Scholarship and Entrepreneurship,X02R
11X545,Dual Language Spanish Program,X30B
13K419,Early College Pharmacology,K78F
13K419,Computer Technology,K78G
13K605,Brooklyn STEAM Center,K70H
14K071,Theater Arts,K11E
14K610,Law Enforcement Academy,K60T
14K614,The Young Women’s Leadership School of Brooklyn,L66A
14K632,Academy of Arts and Media,L47B
15K429,Global Arts Institute,K79A
15K429,Digital Arts and Media,K79B
15K429,Business and Technology Institute,K79C
15K448,Brooklyn School for Collaborative Studies,K03R
15K497,Advanced Placement Program,K21A
16K455,Brooklyn STEAM Center,K10A
16K765,Nelson Mandela School for Social Justice,K15A
17K528,Engineering,K32A
17K528,Biomedical Science,K32B
17K528,Computer Science,K32C
17K528,Brooklyn STEAM Center,K32D
17K533,Humanities Institute,K01X
17K546,Law Academy – HSPS,K64A
17K546,Medical Academy – HSPS,K64B
18K563,Engineering Academy,L36B
18K563,Science Institute,L36C
19K504,High School for Civil Rights and Law,K63X
19K507,Technology,K61R
19K507,Drama/Theater Arts,K61T
19K615,Transit Industrial Electronics,K69K
21K410,Honors Institute for American Studies – Gilder Lehrman,K24M
21K540,STEM – Robotics/Space Science,K56S
26Q430,Math Research and Robotics,Q20H
26Q430,Science Research Institute,Q20K
26Q435,Pre-Med/Pre-Nursing Program,Q38K
27Q480,Medical and Fitness Careers,Q10C
26Q435,Engineering/Robotics and Design Program,Q38L
26Q435,Pre-Law and Leadership Program,Q38M
27Q302,Gateway to Engineering – Information Technology,Q06B
27Q302,Gateway to Engineering – Pre-Engineering,Q06C
27Q480,Environmental and Science Investigative Institute,Q10A
27Q480,S.T.E.M. Academy,Q10F
28Q440,Academy of Instrumental and Vocal Music,Q19P
30Q445,Forensic Science and Law Academy,Q15A
30Q445,Business and Technology Institute,Q15B
30Q445,Arts and Humanities Institute,Q15C
30Q445,Math and Science Academy,Q15J
30Q450,Sports Medicine & Health Sciences,Q29N
30Q450,Dual Language Spanish Program,Q29S
31R440,Future Teachers' Academy,R20A
31R440,Law Institute & AFJROTC,R20C
31R440,Corporate Center for Software Engineering & Virtual Enterprise,R20E
31R440,Institute of Forensic Science,R20T
31R460,Scholars’ Academy,R17F
31R600,Software Engineering,R60B
31R600,Graphic Design,R60I
