01M292,2013,38781,9835
01M292,2014,28920,11990
01M292,2015,25962,7927
01M292,2016,18811,4387
01M292,2017,19407,2969
01M448,2013,44271,8217
01M448,2014,41205,6718
01M448,2015,44919,6124
01M448,2016,50339,5124
01M448,2017,58366,4765
01M450,2013,54350,5264
01M450,2014,57886,5413
01M450,2015,61469,4061
01M450,2016,61027,4795
01M450,2017,62962,4006
01M458,2013,20783,11637
01M458,2014,17985,13853
01M458,2015,18904,10652
01M458,2016,16237,15859
01M458,2017,17000,12380
01M509,2013,46912,11843
01M509,2014,49670,14459
01M509,2015,44493,13475
01M509,2016,35557,8736
01M509,2017,24602,6524
01M515,2013,76796,10178
01M515,2014,78073,11517
01M515,2015,72900,13596
01M515,2016,71159,17500
01M515,2017,72262,14988
01M539,2013,87248,5436
01M539,2014,94541,5073
01M539,2015,99237,5045
01M539,2016,100780,6470
01M539,2017,95052,4737
01M650,2013,25449,9773
01M650,2014,24714,10746
01M650,2015,23742,11016
01M650,2016,23726,12223
01M650,2017,22208,13755
01M696,2013,91489,5795
01M696,2014,87165,4118
01M696,2015,87432,3807
01M696,2016,83565,5106
01M696,2017,84287,4899
01M839,2017,0,4
02M047,2013,27018,3841
02M047,2014,25790,3949
02M047,2015,24988,3391
02M047,2016,26891,3660
02M047,2017,24852,4025
02M135,2014,17902,1797
02M135,2015,28198,3728
02M135,2016,34512,7145
02M135,2017,40938,8414
02M139,2014,12900,1241
02M139,2015,28379,3829
02M139,2016,40078,6136
02M139,2017,52075,8140
02M260,2016,14600,746
02M260,2017,31151,1104
02M280,2015,15179,1021
02M280,2016,28273,2355
02M280,2017,40130,3667
02M282,2015,15650,1603
02M282,2016,28593,3977
02M282,2017,41512,5119
02M288,2013,61028,9266
02M288,2014,63371,8688
02M288,2015,62088,8069
02M288,2016,59541,7329
02M288,2017,57123,6635
02M294,2013,50626,7297
02M294,2014,52834,8046
02M294,2015,52098,8289
02M294,2016,48831,7311
02M294,2017,47501,6970
02M296,2013,54446,10044
02M296,2014,58177,12454
02M296,2015,58839,10654
02M296,2016,54520,10758
02M296,2017,50561,11306
02M298,2013,64457,5233
02M298,2014,64253,5249
02M298,2015,65854,5155
02M298,2016,70316,7528
02M298,2017,70627,10472
02M300,2013,55991,9121
02M300,2014,56031,12946
02M300,2015,57149,11689
02M300,2016,52684,11560
02M300,2017,50007,10600
02M303,2013,54346,12346
02M303,2014,54629,12590
02M303,2015,53884,11014
02M303,2016,53084,11816
02M303,2017,55135,12237
02M305,2013,43178,6811
02M305,2014,45463,7265
02M305,2015,46249,7572
02M305,2016,45014,7552
02M305,2017,41732,7831
02M308,2013,48923,7638
02M308,2014,51501,7548
02M308,2015,56562,6498
02M308,2016,50518,6775
02M308,2017,48586,6862
02M313,2013,25863,10506
02M313,2014,27906,10074
02M313,2015,27658,11981
02M313,2016,26692,12224
02M313,2017,27254,11373
02M316,2013,56341,10766
02M316,2014,54622,12483
02M316,2015,53178,13397
02M316,2016,44970,11805
02M316,2017,36113,7249
02M374,2013,70453,12742
02M374,2014,75218,12931
02M374,2015,76669,11959
02M374,2016,71640,13061
02M374,2017,71714,13428
02M376,2013,67079,5772
02M376,2014,66824,4459
02M376,2015,69467,4430
02M376,2016,70251,5488
02M376,2017,67319,5133
02M392,2013,55134,10163
02M392,2014,57576,11279
02M392,2015,62433,10496
02M392,2016,58118,9558
02M392,2017,59124,9209
02M393,2013,52292,9715
02M393,2014,56228,10489
02M393,2015,61240,11096
02M393,2016,60762,11808
02M393,2017,60420,11184
02M394,2013,37593,2858
02M394,2014,34562,2608
02M394,2015,34595,2451
02M394,2016,39699,2679
02M394,2017,45642,3385
02M399,2013,45319,9252
02M399,2014,48350,9047
02M399,2015,61908,9297
02M399,2016,60261,11911
02M399,2017,52849,11633
02M400,2013,194584,22085
02M400,2014,191925,22443
02M400,2015,191493,23513
02M400,2016,174733,28428
02M400,2017,166376,28852
02M407,2013,42793,3418
02M407,2014,40557,3295
02M407,2015,43035,3878
02M407,2016,42908,3755
02M407,2017,39844,3338
02M408,2013,64926,5224
02M408,2014,62763,4311
02M408,2015,69765,4101
02M408,2016,69115,4615
02M408,2017,67275,5078
02M411,2013,69490,1710
02M411,2014,70466,1911
02M411,2015,73286,1879
02M411,2016,69950,2283
02M411,2017,69101,2527
02M412,2013,87993,6062
02M412,2014,92940,5563
02M412,2015,92737,5752
02M412,2016,82333,4590
02M412,2017,81426,4925
02M413,2013,67112,4427
02M413,2014,69128,4945
02M413,2015,70573,4446
02M413,2016,72990,4427
02M413,2017,74061,4876
02M414,2013,73567,4495
02M414,2014,72361,4179
02M414,2015,75608,4111
02M414,2016,69487,4487
02M414,2017,68534,4557
02M416,2013,80946,3369
02M416,2014,85270,2705
02M416,2015,87691,3208
02M416,2016,86048,3481
02M416,2017,84685,3861
02M418,2013,102544,4354
02M418,2014,99128,3501
02M418,2015,107007,3963
02M418,2016,101047,4347
02M418,2017,103064,4069
02M419,2013,51838,12471
02M419,2014,49729,12942
02M419,2015,46890,10347
02M419,2016,46471,11850
02M419,2017,46814,11266
02M420,2013,252831,23017
02M420,2014,252052,24888
02M420,2015,255694,23536
02M420,2016,250123,21499
02M420,2017,262949,22529
02M422,2013,14391,1020
02M422,2014,26700,2941
02M422,2015,39159,4849
02M422,2016,50905,6594
02M422,2017,51415,7344
02M425,2013,82030,20691
02M425,2014,89996,22342
02M425,2015,89344,23600
02M425,2016,86705,20231
02M425,2017,77950,15838
02M427,2013,35923,6823
02M427,2014,42158,9239
02M427,2015,44242,7745
02M427,2016,42295,5885
02M427,2017,41357,7001
02M429,2013,19314,7935
02M429,2014,7424,3048
02M432,2013,37926,9046
02M432,2014,40559,9937
02M432,2015,36625,8407
02M432,2016,36821,9773
02M432,2017,38350,11872
02M437,2013,51033,6264
02M437,2014,64739,11385
02M437,2015,66017,13903
02M437,2016,65358,16059
02M437,2017,60406,15845
02M438,2013,38227,4250
02M438,2014,49337,6616
02M438,2015,47307,9339
02M438,2016,48107,7366
02M438,2017,48772,7410
02M439,2013,66192,1694
02M439,2014,66061,1832
02M439,2015,68129,1158
02M439,2016,71320,1610
02M439,2017,69080,1396
02M449,2013,59119,10797
02M449,2014,64838,11479
02M449,2015,69312,10197
02M449,2016,65086,8537
02M449,2017,63444,9230
02M459,2013,48123,3882
02M459,2014,49974,4104
02M459,2015,49928,5355
02M459,2016,49472,5726
02M459,2017,47568,6095
02M460,2013,66526,26128
02M460,2014,32350,13263
02M473,2013,16922,12909
02M473,2014,13774,12814
02M473,2015,13302,8432
02M473,2016,9998,9934
02M473,2017,10383,9050
02M475,2013,519305,19015
02M475,2014,526933,18650
02M475,2015,533802,19329
02M475,2016,523585,17972
02M475,2017,530460,16597
02M489,2013,105811,15042
02M489,2014,110357,13535
02M489,2015,117581,14947
02M489,2016,107558,12677
02M489,2017,107045,14961
02M500,2013,31909,7821
02M500,2014,34567,6635
02M500,2015,40367,6337
02M500,2016,37589,8160
02M500,2017,34401,6816
02M507,2013,37014,3247
02M507,2014,53601,5620
02M507,2015,71158,8243
02M507,2016,65832,10084
02M507,2017,65713,8262
02M519,2013,77707,5447
02M519,2014,82908,7877
02M519,2015,78798,5609
02M519,2016,76615,5949
02M519,2017,73105,5698
02M520,2013,222328,64344
02M520,2014,160919,74678
02M520,2015,110279,41095
02M520,2016,73103,16604
02M520,2017,51262,10204
02M529,2013,89689,24889
02M529,2014,89327,25627
02M529,2015,89147,22342
02M529,2016,84490,19414
02M529,2017,79002,20474
02M531,2013,34437,2254
02M531,2014,36013,2435
02M531,2015,38265,2958
02M531,2016,37848,2913
02M531,2017,36378,3412
02M533,2013,18140,1651
02M533,2014,32294,3524
02M533,2015,48086,4945
02M533,2016,59750,8608
02M533,2017,57938,7692
02M534,2013,19471,1131
02M534,2014,35606,2998
02M534,2015,50612,5088
02M534,2016,66347,8764
02M534,2017,63101,11249
02M542,2013,81283,7706
02M542,2014,81638,8255
02M542,2015,81420,7061
02M542,2016,77206,6534
02M542,2017,77041,7036
02M543,2013,58009,12137
02M543,2014,60122,11240
02M543,2015,60993,10960
02M543,2016,57003,10371
02M543,2017,56167,9046
02M544,2013,36855,19392
02M544,2014,29165,15710
02M544,2015,25253,17000
02M544,2016,27812,16372
02M544,2017,25535,16895
02M545,2013,63125,1287
02M545,2014,66139,1303
02M545,2015,68255,1237
02M545,2016,67324,1380
02M545,2017,63194,1065
02M546,2013,19563,1202
02M546,2014,36663,3005
02M546,2015,53738,4351
02M546,2016,64539,9596
02M546,2017,65614,7141
02M550,2013,52927,7956
02M550,2014,52692,6611
02M550,2015,60604,8522
02M550,2016,61238,8232
02M550,2017,60135,9237
02M551,2013,62156,7715
02M551,2014,63763,7815
02M551,2015,66281,7143
02M551,2016,60453,8034
02M551,2017,65499,6782
02M560,2013,56942,34204
02M560,2014,70303,29430
02M560,2015,61330,37574
02M560,2016,41561,43601
02M560,2017,42728,47274
02M565,2013,25603,345
02M565,2014,25967,780
02M565,2015,25859,1442
02M565,2016,20955,5121
02M565,2017,23599,3369
02M570,2013,25913,6813
02M570,2014,27905,8061
02M570,2015,27252,7394
02M570,2016,26138,12303
02M570,2017,25933,12122
02M575,2013,75681,21929
02M575,2014,67688,24704
02M575,2015,79671,28458
02M575,2016,80806,26863
02M575,2017,81858,26233
02M580,2013,80716,12635
02M580,2014,78329,17300
02M580,2015,78346,13487
02M580,2016,72218,11846
02M580,2017,73266,11130
02M586,2013,8563,2006
02M586,2014,9083,2199
02M586,2015,8410,2011
