02M411,Baruch College Campus High School,10010,MANHATTAN
02M437,Hudson High School of Learning Technologies,10011,MANHATTAN
02M422,Quest to Learn,10011,MANHATTAN
02M412,NYC Lab School for Collaborative Studies,10011,MANHATTAN
02M419,Landmark High School,10011,MANHATTAN
02M600,The High School of Fashion Industries,10011,MANHATTAN
02M414,NYC Museum School,10011,MANHATTAN
02M392,Manhattan Business Academy,10011,MANHATTAN
02M605,Humanities Preparatory Academy,10011,MANHATTAN
02M439,Manhattan Village Academy,10010,MANHATTAN
02M294,Essex Street Academy,10002,MANHATTAN
02M282,Urban Assembly Maker Academy,10038,MANHATTAN
01M509,Marta Valle High School,10002,MANHATTAN
02M298,Pace High School,10002,MANHATTAN
02M520,Murry Bergtraum High School for Business Careers,10038,MANHATTAN
02M545,High School for Dual Language and Asian Studies,10002,MANHATTAN
02M280,Manhattan Early College School for Advertising,10038,MANHATTAN
02M135,The Urban Assembly School for Emergency Management,10038,MANHATTAN
02M543,New Design High School,10002,MANHATTAN
02M305,"Urban Assembly Academy of Government and Law, The",10002,MANHATTAN
02M308,Lower Manhattan Arts Academy,10002,MANHATTAN
09X276,Leadership Institute,10457,BRONX    
09X250,Eximius College Preparatory Academy: A College Board School,10456,BRONX    
09X260,Bronx Center for Science and Mathematics,10456,BRONX    
09X241,"Urban Assembly School for Applied Math and Science, The",10457,BRONX    
09X517,Frederick Douglass Academy III Secondary School,10456,BRONX    
09X231,Eagle Academy for Young Men,10457,BRONX    
09X252,Mott Hall Bronx High School,10457,BRONX    
09X263,Validus Preparatory Academy: An Expeditionary Learning School,10457,BRONX    
09X525,Bronx Leadership Academy High School,10457,BRONX    
02M542,Manhattan Bridges High School,10019,MANHATTAN
03M479,Beacon High School,10036,MANHATTAN
02M400,High School for Environmental Studies,10019,MANHATTAN
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,10019,MANHATTAN
02M300,"Urban Assembly School of Design and Construction, The",10019,MANHATTAN
02M408,Professional Performing Arts High School (PPAS),10036,MANHATTAN
02M507,Urban Assembly Gateway School for Technology,10019,MANHATTAN
02M296,High School of Hospitality Management,10019,MANHATTAN
02M393,Business Of Sports School (BOSS),10019,MANHATTAN
02M288,Food and Finance High School,10019,MANHATTAN
02M303,"Facing History School, The",10019,MANHATTAN
02M544,Independence High School,10019,MANHATTAN
13K412,"Brooklyn Community High School of Communication, Arts and Media (BCAM)",11205,BROOKLYN 
13K670,Benjamin Banneker Academy,11205,BROOKLYN 
11X249,Bronx Health Sciences High School,10475,BRONX    
11X455,Harry S Truman High School,10475,BRONX    
24Q550,High School for Arts and Business,11368,QUEENS   
12X511,Bronx Envision Academy,10460,BRONX    
12X251,Explorations Academy,10460,BRONX    
12X682,Fannie Lou Hamer Freedom High School,10460,BRONX    
12X271,East Bronx Academy for the Future,10460,BRONX    
17K489,W.E.B. DuBois Academic High School,11225,BROOKLYN 
17K751,Academy for Health Careers,11213,BROOKLYN 
17K122,Pathways in Technology Early College High School (P-TECH),11213,BROOKLYN 
13K499,ACORN Community High School,11238,BROOKLYN 
17K547,Brooklyn Academy of Science and the Environment,11225,BROOKLYN 
17K528,The High School for Global Citizenship,11225,BROOKLYN 
17K600,Clara Barton High School,11225,BROOKLYN 
17K590,Medgar Evers College Preparatory School,11225,BROOKLYN 
17K548,Brooklyn School for Music & Theatre,11225,BROOKLYN 
17K524,International High School at Prospect Heights,11225,BROOKLYN 
19K639,Brooklyn Lab School,11208,BROOKLYN 
19K583,Multicultural High School,11208,BROOKLYN 
19K659,Cypress Hills Collegiate Preparatory School,11208,BROOKLYN 
19K618,Academy of Innovative Technology,11208,BROOKLYN 
19K764,The Urban Assembly School for Collaborative Healthcare,11208,BROOKLYN 
15K656,Brooklyn High School of the Arts,11217,BROOKLYN 
13K439,Brooklyn International High School,11201,BROOKLYN 
13K350,Urban Assembly High School of Music and Art,11201,BROOKLYN 
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",11201,BROOKLYN 
15K497,School for International Studies,11201,BROOKLYN 
15K429,Digital Arts and Cinema Technology High School (Brooklyn School for Global Studies),11201,BROOKLYN 
15K592,Khalil Gibran International Academy,11217,BROOKLYN 
13K527,Urban Assembly Institute of Math and Science for Young Women,11201,BROOKLYN 
