29Q272,Carver Research Institute,Q45C,2015
24Q585,Maspeth High School,Q47A,2015
08X348,Schuylerville Preparatory High School,X57A,2015
08X332,Holcombe L. Rucker School of Community Research,Y22A,2015
26Q415,School of Journalism and Media Studies,Q16B,2015
07X522,Architecture and Design,Y51B,2015
08X349,Bronx River High School,X24A,2015
25Q460,Zoned,Q18Z,2015
28Q440,Zoned,Q19Z,2015
02M392,Manhattan Business Academy,A12A,2015
02M393,The Business of Sports School,A14A,2015
08X305,Pablo Neruda Academy,X97A,2015
02M546,Academy for Software Engineering (AFSE),A54A,2015
02M551,Urban Assembly New York Harbor School,K51A,2015
02M427,Manhattan Academy for Arts & Language,A22A,2015
27Q480,Zoned,Q10Z,2015
02M543,New Design High School,M53A,2015
01M292,International Studies,M46X,2015
01M448,University Neighborhood Early College,M35C,2015
01M448,University Neighborhood High School,M35A,2015
01M448,Bilingual Mandarin,M35B,2015
01M450,East Side Community,M58A,2015
01M509,Marta Valle High School,M27A,2015
01M539,"Science, Technology and Math Institute",M29A,2015
01M696,Early College,M51A,2015
02M047,English/American Sign Language Dual Language Environment,M54A,2015
02M135,The Urban Assembly School for Emergency Management,M28A,2015
02M139,Building Arts & Historic Preservation,M18A,2015
08X367,"Archimedes Academy for Math, Science and Technology",Y37A,2015
02M260,M.S. 260 Clinton School Writers & Artists,M64A,2015
02M280,Manhattan Early College School for Advertising,M73A,2015
02M282,Urban Assembly Maker Academy,M61A,2015
02M288,Food and Finance High School,M34X,2015
02M294,Essex Street Academy,M37X,2015
02M296,High School of Hospitality Management,M36X,2015
02M298,PACE High School,M38X,2015
02M300,Urban Assembly School of Design and Construction,M44X,2015
02M303,The Facing History School,M02R,2015
02M305,The Urban Assembly Academy of Government and Law,M65R,2015
02M308,Lower Manhattan Arts Academy,M05R,2015
02M316,The Urban Assembly School of Business for Young Women,M63R,2015
02M374,International Baccalaureate Program,M66I,2015
02M374,Fine & Visual Arts,M66A,2015
02M374,Performing Arts,M66B,2015
02M376,NYC iSchool,M52A,2015
02M399,High School for Language and Diplomacy,A11A,2015
02M400,Honors Academy,M41D,2015
02M400,Environmental Studies,M41C,2015
08X376,Antonia Pantoja Preparatory Academy: A College Board School,Y34A,2015
02M407,Institute for Collaborative Education,M82A,2015
02M420,Medical Technology and College Preparatory,M70B,2015
02M422,Quest to Learn Upper School,A25A,2015
02M425,Leadership and Public Service,M76A,2015
02M408,Musical Theatre,M81H,2015
02M408,Drama,M81J,2015
02M580,Liberal Arts Academy,M23B,2015
02M408,Classical Vocal Music,M81K,2015
02M408,Dance,M81N,2015
02M411,Baruch College,M87A,2015
02M412,College Prep,M74A,2015
02M615,SoHo Communication Arts Academy,M67E,2015
07X670,Health Opportunities High School,X71A,2015
02M413,School of the Future,M83A,2015
08X282,Womens Academy of Excellence,Y01T,2015
07X600,Bilingual Spanish NATEF Automotive Technology,X69D,2015
02M414,NYC Museum School,M85A,2015
02M416,Eleanor Roosevelt High School,M21A,2015
02M418,Millennium High School,M25A,2015
02M419,Landmark High School,M91A,2015
02M420,Medical Science & Research,M70A,2015
02M432,Murray Hill Academy,A19A,2015
02M437,Hudson High School of Learning Technologies,A18A,2015
07X527,Bronx Leadership Academy II High School,Y49A,2015
02M438,International High School at Union Square,Y46A,2015
02M439,Manhattan Village Academy,M94A,2015
02M449,College Preparatory,M95A,2015
02M459,Humanities and Interdisciplinary,M93A,2015
07X547,Drama,X49H,2015
07X548,Urban Assembly School for Careers in Sports,X31A,2015
30Q450,Zoned,Q29Z,2015
02M475,Stuyvesant,NO CODE,2015
02M489,Economics and Finance,M79A,2015
02M500,Unity Center for Urban Technologies,M84A,2015
02M507,UA Gateway,A23A,2015
02M519,Musical Theatre,M42J,2015
02M519,Vocal Music,M42K,2015
02M519,Dance,M42L,2015
02M545,High School for Dual Language and Asian Studies,M59A,2015
02M519,Drama,M42N,2015
02M519,Instrumental Music,M42P,2015
02M520,Syracuse University Project Advance Academy,M50C,2015
02M520,The Ninth Grade Academy,M50B,2015
02M529,"International Marketing, Computer Applications, Foreign Trade and Virtual Enterprise",M45A,2015
07X551,Bronx Academy of Letters,X27A,2015
08X269,The Urban Assembly Bronx Studio School for Writers and Artists,Y28A,2015
03M541,Manhattan/Hunter Science High School,M55A,2015
02M531,Theatre Arts,M20X,2015
02M533,Pharmacy Technician,A33A,2015
02M533,Dental Assist,A33B,2015
02M534,Harvest Collegiate High School,A53A,2015
02M542,Bilingual Spanish Information Technology and Computer Science,M57B,2015
02M542,Bilingual Spanish Pre-Engineering,M57C,2015
02M542,Dual Language Spanish Pre-Engineering,M57D,2015
02M542,Dual Language Spanish Information Technology and Computer Science,M57E,2015
02M580,Teaching Academy,M23A,2015
02M600,"Fashion Design, Related Arts & Business Fields",M68A,2015
02M605,Humanities Preparatory Academy,M99A,2015
02M615,Chelsea Technical Academy/Cisco,M67B,2015
02M630,Architectural Design,M60N,2015
02M630,Commercial Art and Design,M60P,2015
02M630,Film/Video Production,M60Q,2015
02M655,Life Sciences for New Students,M40A,2015
02M655,Life Sciences for Current Students,M40B,2015
03M299,"High School for Arts, Imagination and Inquiry",M11R,2015
03M307,The Urban Assembly School for Media Studies,M22X,2015
03M402,The Urban Assembly School for Green Careers,A13A,2015
03M403,The Global Learning Collaborative,A17A,2015
05M367,Academy for Social Action: A College Board School,M01A,2015
03M415,Drama,M26A,2015
03M415,Dance,M26D,2015
03M415,Visual Arts,M26J,2015
03M415,Instrumental Music,M26M,2015
03M415,Vocal Music,M26R,2015
03M415,Wadleigh Secondary,M26W,2015
03M494,Arts & Technology,M12A,2015
03M417,Frank McCourt High School,A21A,2015
07X600,NATEF Automotive Technology,X69C,2015
03M479,The Beacon School,M71A,2015
03M485,Dance,NO CODE,2015
03M485,Drama,NO CODE,2015
03M485,Fine Art,NO CODE,2015
03M485,Instrumental Music,NO CODE,2015
03M485,Technical Theatre,NO CODE,2015
05M362,Columbia Secondary School,A15A,2015
03M485,Vocal Music,NO CODE,2015
03M492,"Law, Advocacy and Community Justice High School",M14A,2015
03M494,Digital Media,M12B,2015
08X312,Millennium Art Academy,X72A,2015
03M859,"Voice, Instrument, and Composition",A85A,2015
03M860,Frederick Douglass Academy II for New Students,M39A,2015
03M860,Frederick Douglass Academy II for Continuing Students,M39B,2015
04M372,Esperanza Preparatory Academy,A37A,2015
04M409,Coalition School for Social Change,M90A,2015
04M435,Science & Mathematics Research,M16J,2015
04M435,Bilingual Spanish Science & Mathematics,M16K,2015
04M495,Park East High School,M17J,2015
04M555,Central Park East,M86A,2015
04M610,Young Womens Leadership School,M96A,2015
04M680,The Heritage School,M97A,2015
05M157,The Urban Assembly School for Global Commerce,M48A,2015
05M304,Mott Hall High School,M49X,2015
