06M540,Academic Professions,M19B,2014
06M540,The Academy of the Humanities,M19C,2014
06M540,The Academy of Engineering,M19J,2014
06M540,The Academy of Medicine,M19K,2014
06M552,Bilingual Spanish Science & Mathematics,M62A,2014
07X221,South Bronx Preparatory: A College Board School,X11X,2014
07X223,Dual Language Spanish Program,Y72A,2014
07X223,The Laboratory School of Finance and Technology,Y72B,2014
07X334,International Community High School,Y23A,2014
10X374,Knowledge and Power Preparatory Academy International High School,Y32A,2014
07X427,Social Action,X47A,2014
07X473,Mott Haven Village Preparatory High School,X44X,2014
07X495,Humanities,X96A,2014
07X495,"STEM (Science, Technology, Engineering and Mathematics)",X96B,2014
07X500,Hostos-Lincoln Academy of Science,X14J,2014
07X520,Humanities,X70A,2014
07X520,Art as Visual Language,X70J,2014
07X522,Building Construction and Technology,Y51A,2014
07X522,Architecture and Design,Y51B,2014
07X527,Bronx Leadership Academy II High School,Y49A,2014
07X547,"Visual Arts, Drama, Dance and Music",X49B,2014
07X548,Urban Assembly School for Careers in Sports,X31A,2014
07X551,Bronx Academy of Letters,X27A,2014
07X600,NATEF Automotive Technology,X69C,2014
07X600,Bilingual Spanish NATEF Automotive Technology,X69D,2014
07X600,Automotive Management,X69P,2014
07X670,Health Opportunities High School,X71A,2014
08X269,The Urban Assembly Bronx Studio School for Writers and Artists,Y28A,2014
08X282,Womenâs Academy of Excellence,Y01T,2014
08X293,Renaissance High School of Musical Theater & Technology,X98A,2014
08X305,Pablo Neruda Academy for Architecture and World Studies,X97A,2014
08X312,Millennium Art Academy,X72A,2014
08X332,Holcombe L. Rucker School of Community Research,Y22A,2014
08X367,"Archimedes Academy for Math, Science and Technology",Y37A,2014
08X376,Antonia Pantoja Preparatory Academy: A College Board School,Y34A,2014
08X405,Academy for Computer Technology,X16A,2014
08X405,Anne Hutchinson Academy,X16B,2014
08X405,Zoned,X16Z,2014
08X432,Bronx Bridges High School,Y47A,2014
08X452,Bronx Guild,X32A,2014
08X519,The Felisa RincÃ³n de Gautier Institute for Law and Public Policy,X65R,2014
08X530,Banana Kelly High School,X94A,2014
08X558,Westchester Square Academy,Y58A,2014
08X558,Westchester Square Academy Honors Program,Y58B,2014
08X559,School for Tourism and Hospitality,Y59A,2014
08X561,The Bronx Compass High School,Y61A,2014
09X227,Bronx Collegiate Academy,X58X,2014
09X231,The Eagle Academy for Young Men,X99X,2014
09X241,The Urban Assembly School for Applied Math and Science,Y29A,2014
09X250,Eximius College Preparatory Academy: A College Board School,X03R,2014
09X252,Mott Hall Bronx High School,X04R,2014
09X260,Bronx Center for Science and Mathematics,X05R,2014
09X263,Validus Preparatory Academy: An Expeditionary Learning School,X07R,2014
09X276,Leadership Institute,X06R,2014
09X297,Morris Academy for Collaborative Studies,X81X,2014
09X324,Bronx Early College Academy,Y36A,2014
09X327,Comprehensive Model School Project (CMSP),Y27A,2014
09X329,DreamYard Preparatory School,Y21A,2014
09X365,National Academy Foundation Media Communications,Y31B,2014
10X433,Humanities & Interdisciplinary,X34A,2014
09X365,National Academy Foundation Institute for Computer Technology,Y31C,2014
09X365,National Academy Foundation Computer Networking,Y31D,2014
09X403,Bronx International High School,X36A,2014
09X404,School for Excellence,X46A,2014
09X412,Bronx High School of Business,X55A,2014
09X413,Medical and Health Sciences,X56A,2014
09X505,"Bronx School for Law, Government and Justice for New Students",X95A,2014
09X505,"Bronx School for Law, Government and Justice for Current Students",X95B,2014
09X517,Frederick Douglass Academy III Secondary School,X63X,2014
09X525,Bronx Leadership Academy,X73A,2014
09X543,Violin and Dance,X41A,2014
09X564,Claremont International High School,Y64A,2014
10X141,RKA Humanities,X80A,2014
